FleetName,Description,ExpertGroup
GNS_DEF_all_0_0_all,,WGWIDE
GTR_DEF_60-79_0_0,,WGWIDE
GTR_DEF_all_0_0_all,,WGWIDE
hernoss-fleet,,WGWIDE
HM-ALL                                                      ,,WGWIDE
Lines and Jigging,Fleet targeting Mackerel with lines and jigging,WGWIDE
Mackerel Discards,,WGWIDE
Mackerel Pelagic Trawl,Mackerel Single and Pair Midwater trawl fleet,WGWIDE
Mackerel Purse Seine,Mackerel Purse Seine fleet,WGWIDE
MIF                                                         ,,WGWIDE
MIS_MIS_0_0_0,,WGWIDE
MIS_MIS_0_0_0_HC,,WGWIDE
NI-PT                                                       ,,WGWIDE
NO-PS                                                       ,,WGWIDE
OTB,,WGWIDE
OTB_CRU_>=70_0_0,,WGWIDE
OTB_CRU_32-69_0_0_all,,WGWIDE
OTB_CRU_70-99_0_0_all,,WGWIDE
OTB_DEF,,WGWIDE
OTB_DEF_>=120_0_0_>=40,,WGWIDE
OTB_DEF_>=120_0_0_all,,WGWIDE
OTB_DEF_>=120_0_0_all_FDF,,WGWIDE
OTB_DEF_>=55_0_0,,WGWIDE
OTB_DEF_>=70_0_0,,WGWIDE
OTB_DEF_100-119_0_0,,WGWIDE
OTB_DEF_70-99_0_0,,WGWIDE
OTB_MCD_>=55_0_0,,WGWIDE
OTT-DEF,,WGWIDE
Pel Freezer Trawler,Pelagic Freezers targeting mackerel,WGWIDE
PS_SPF_0_0_0,,WGWIDE
PT-ALL                                                      ,Fleet for total Portuguese mackerel fleet,WGWIDE
PTB_DEF_>=70_0_0,,WGWIDE
PTB_MPD_>=55_0_0,,WGWIDE
PTM_DEF_90-104_0_0,,WGWIDE
SDN_DEF_70-99_0_0_all,,WGWIDE
TrawlPlus                                                   ,Bottom plus pelagic trawl  ,WGWIDE
All,All the fleets that capture the target species ,WGCEPH
FPO_CEP_0_0_,,WGCEPH
FPO_MOL_0_0,,WGCEPH
GNS_DEF_100-119_0_0_all,,WGCEPH
GTR_CEP_>=10_0_0,,WGCEPH
GTR_DEF_50-59_0_0,,WGCEPH
GTR_DEF_60-79_0_0,,WGCEPH
GTR_DEF_all_0_0_all,,WGCEPH
LLS_FIF_0_0_0_all,,WGCEPH
MIS_MIS_0_0_0,,WGCEPH
MIS_MIS_0_0_0_HC,,WGCEPH
OTB_CEP_>=70,,WGCEPH
OTB_CEP_100-119,,WGCEPH
OTB_CEP_32-69,,WGCEPH
OTB_CRU_>=70_0_0,,WGCEPH
OTB_CRU_100-119_0_0_all,,WGCEPH
OTB_CRU_100-119_1_0_all,,WGCEPH
OTB_CRU_16-31_0_0_all,,WGCEPH
OTB_CRU_32-69_0_0_all,,WGCEPH
OTB_CRU_32-69_2_22_all,,WGCEPH
OTB_CRU_70-89_2_35_all,,WGCEPH
OTB_CRU_70-99_0_0_all,,WGCEPH
OTB_CRU_70-99_0_0_all_FDF,,WGCEPH
OTB_CRU_70-99_1_0_all,,WGCEPH
OTB_CRU_70-99_2_0_all,,WGCEPH
OTB_DEF_>=120_0_0_all,,WGCEPH
OTB_DEF_32-69,,WGCEPH
OTB_DEF_32-69_0_0_all,,WGCEPH
OTB_DEF_>=55_0_0,,WGCEPH
OTB_DEF_>=70_0_0,,WGCEPH
OTB_DEF_100-119_0_0,,WGCEPH
OTB_DEF_70-99_0_0_all,,WGCEPH
OTB_MCD_>=55_0_0,,WGCEPH
OTB_MOL_70-99_0_0_all,,WGCEPH
OTB_SPF_16-31_0_0_all,,WGCEPH
OTB_SPF_32-69_0_0_all,,WGCEPH
OTM_DEF_100-119_0_0_all,,WGCEPH
OTM_MPD,,WGCEPH
OTM_SPF_32-69_0_0_all,,WGCEPH
OTT_CEP_>=70,,WGCEPH
OTT_DEF_>=70,,WGCEPH
OTT_DEF_100-119,,WGCEPH
PS_SPF_0_0_0,,WGCEPH
PTM_DEF_100-119_0_0_all,,WGCEPH
SDN_CEP_>=70,,WGCEPH
SSC_DEF_>=120_0_0_all,,WGCEPH
TBB_CRU_16-31_0_0_all,,WGCEPH
TBB_DEF_>=120_0_0_all,,WGCEPH
TBB_DEF_70-99_0_0_all,,WGCEPH
